,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
0,0.0,20.144188,16.887503,21.747332,22.454832,18.796062,19.202227,19.244356,16.92188,12.543725,25.469183,13.00443,13.2586565,19.891182,19.189245,11.928436,21.93592,9.88146,23.125244,23.759386,21.505018,21.25316,20.756197,17.932573,16.40805,19.921373,14.473217,10.071281,18.421314,22.12183,19.872572,20.188427,20.297176,18.703955,17.18816,17.233755,22.17236,18.57064,14.619857,14.499365,21.812893,18.775543,21.431318,20.001673,12.682203,18.572283,15.472992,18.477318,18.34404,13.973503,11.990371,13.130202,21.968122,22.194357,12.927535,12.937384,14.844569,12.924578,17.235874,15.051794,16.550863,16.241827,17.660494,17.966917,14.295924,16.690245,17.370483,14.120293,13.90499,16.258972,16.653532,17.264524,18.32215,20.544308,20.228176,15.080274,15.927314,15.746885,15.19133,17.753698,15.169848,21.052523,16.754375,13.671874,16.4594,16.731022,17.02493,14.867803,17.776062,17.330748,14.33957,15.093401,15.482842,15.890991,16.873072,16.991314,17.32432,20.614145,20.055342,15.331827,16.148518,17.02602,15.806707,15.806918,15.419848,15.825634,18.660732,16.99067,17.064358,17.763794,18.334158,18.198753,15.339755,18.043125,18.409956,15.823448,15.863096,16.088984,15.806023,15.006853,13.821111,14.809463,15.212212,14.430915,15.557137,15.154843,15.240805,16.043308,15.876098,14.71265,15.023383,16.456335,15.844499,15.38268,18.78804,18.208248,17.893244,19.46569,18.475374,17.595827,17.734547,17.5997,14.740326,16.716282,16.250196,17.831078,17.16218,16.48574,18.696457,16.940557,16.925444,16.891369,16.658298,18.515327,18.369345,18.458693,17.725237,18.021248,19.400703,19.476418,19.33719,18.933784,19.52306,19.354284,19.119858,20.266027,19.87419,20.525206,19.615217,19.75282,20.008121,19.346525,18.799501,15.7526865,15.950042,16.465637,15.970319,16.57754,16.284014,17.033052,17.777374,17.061825,16.958588,18.237663,17.96294,17.043255,16.988161,17.760786,17.277807,16.140194,19.719742,17.590271,16.708302,16.883446,17.15643,16.719204,15.889199,19.520037,18.914108,16.042543,16.307833,18.090256,18.218292,18.264107,17.902763,17.968199,17.570396,18.985645,19.301218,19.4285,17.057344,17.832632,18.197098,18.432308,18.26909,17.811485,17.465744,18.23179,18.559658,20.030828,18.996845,19.218658,19.178825,18.677582
1,20.144188,0.0,4.149683,8.91037,9.188747,9.163948,6.9749165,6.9868073,22.208954,18.04495,17.2385,14.854147,15.058391,17.50668,18.951283,14.383408,19.04922,11.832932,13.332677,11.844749,10.831494,8.380069,8.685574,11.257058,16.741308,8.453283,13.455804,11.177175,10.991063,13.581892,12.844825,8.848765,8.364507,13.576951,11.710153,13.411811,15.855219,15.45559,12.752281,13.466894,12.62983,16.422026,17.904272,16.433067,11.399113,13.505271,7.615298,16.126373,16.313774,11.523106,12.02107,11.549239,13.430961,13.468689,10.328522,10.569234,8.081827,9.297231,8.667103,9.423485,9.788214,10.16278,6.9840546,7.3193064,9.551224,6.9950347,7.009282,12.723166,14.048092,7.6736155,7.689842,9.156631,12.880705,12.72425,15.115171,6.4914317,15.548658,11.835255,8.101663,8.552556,6.7491446,13.624937,6.778969,8.883201,8.812434,8.479288,10.194821,6.9550996,9.20249,8.460149,8.097994,10.71431,14.784996,14.183759,10.195384,9.505673,9.475637,12.731185,12.529437,14.486978,14.121009,7.464904,13.789202,13.421634,13.785306,13.59316,14.474413,6.873782,7.1013412,7.0359235,9.259475,9.87285,7.7536488,7.1183314,7.1914406,13.598875,13.827213,9.42236,8.835036,13.553118,11.651649,13.129297,12.824164,13.643287,7.987346,8.044693,8.3186,15.525566,8.308049,13.055715,12.78548,8.504503,9.103745,8.977321,14.005644,14.194469,13.155585,9.792215,11.288377,11.657706,12.39993,12.107717,12.20623,13.23554,12.96285,11.94196,12.127236,11.229188,11.307948,11.804867,11.4053755,12.530952,12.546163,11.726671,9.370615,10.107997,9.551047,9.890853,12.446793,12.69991,13.284265,13.9028,13.652601,13.435957,13.810093,13.909111,13.70376,13.730006,13.406319,13.928227,13.75928,13.330804,13.492036,12.911803,12.5193815,12.519987,13.768452,13.938985,14.020083,14.394494,13.7949095,10.89766,13.602573,13.313752,15.383312,11.520143,15.1826515,14.739674,12.9093275,11.087433,11.00856,14.883362,12.13627,11.483521,14.561839,14.735269,12.01668,10.716706,11.154554,11.851888,12.445309,10.092942,10.889257,13.060956,12.922919,11.724724,13.492314,13.155986,11.80522,11.98496,11.644445,12.926436,13.173838,13.365414,12.739621,12.394318,12.104048,12.2732525,12.325278,12.904813,12.557413,12.65194,12.655948,12.426749
2,16.887503,4.149683,0.0,10.972033,12.065923,10.853102,9.07467,9.090466,21.530838,16.878992,19.09805,13.816587,14.097074,17.608723,18.886908,13.474844,20.35031,9.806091,15.583165,14.381522,12.7564335,10.137548,10.278834,12.349976,16.986036,8.891,13.400367,9.201532,11.61142,15.1185,14.437777,9.188575,8.984156,14.018687,11.860952,13.325256,17.587498,16.3936,12.055578,12.648158,14.446087,17.302393,19.115894,17.444956,10.676341,14.207864,6.8018885,16.965311,17.096872,11.007328,10.847146,10.808734,15.487394,15.585908,9.512954,9.768294,8.005616,8.283664,8.648216,9.579133,9.458773,9.762112,8.092112,8.429606,9.332788,7.741364,8.160062,12.481997,13.710981,8.00319,8.121094,9.31536,14.024512,14.348101,16.233059,6.0834174,15.605204,11.849961,8.06218,9.265718,6.587594,15.338531,7.0404673,8.27758,8.644365,8.423824,11.004537,6.630499,9.761623,8.860414,7.665842,10.919006,14.715257,14.276759,10.661233,10.241448,10.317417,14.560109,14.223541,14.220239,14.076229,7.807554,13.693933,13.327858,13.480945,13.440178,15.359605,6.9032307,7.2878613,7.614495,10.382006,10.884104,7.9053216,7.9114323,8.131723,13.8501625,13.84782,9.817949,9.152768,13.332178,11.271024,12.830885,12.696324,13.297201,8.19164,8.067552,8.452918,15.690608,8.718327,12.807041,12.66055,9.229718,9.545182,9.170771,15.055773,14.8636675,13.859355,11.420322,12.654697,12.699726,13.418413,13.112955,12.107044,13.610313,13.269558,12.686249,12.618427,11.927136,12.67671,12.377176,11.983474,12.90106,12.823393,12.748208,10.793642,11.528669,10.725625,11.135991,13.958996,14.193894,14.674,15.101045,15.066655,14.823021,15.082944,15.489319,15.20187,15.34442,14.800611,15.142004,15.106872,14.509656,14.497147,13.0960045,12.864216,13.021401,14.102128,14.432343,14.438477,14.895185,14.590601,11.807439,14.115467,14.145447,16.099373,12.31928,15.6059065,15.44008,13.629256,11.657396,12.665958,15.55101,12.830034,12.269696,15.10889,15.171146,12.445648,12.218299,12.455815,12.350721,13.00325,11.2532625,11.992637,14.076815,13.735667,12.662834,14.330338,14.180563,13.209862,13.429997,12.39519,13.896762,14.2287035,14.452882,13.833159,13.355837,12.965362,13.3201885,13.428989,14.239091,13.805889,13.905744,13.759459,13.481177
3,21.747332,8.91037,10.972033,0.0,5.6749544,9.003369,7.9852843,8.340973,24.061817,20.110897,19.96693,17.871479,17.985575,21.694195,22.302698,12.397409,16.0277,11.959227,14.352355,14.2867565,14.234919,14.330411,14.330453,7.394396,14.317491,15.957017,12.082834,13.143675,15.517045,17.100216,9.208806,16.522144,15.889195,17.599232,16.045708,17.83467,15.148392,13.191932,16.74502,17.552965,15.160661,13.470274,17.554222,16.799501,12.1596575,16.264425,13.415885,13.496371,13.558607,14.210282,14.577307,13.866434,12.870147,12.807651,12.282932,12.586491,8.848788,11.714836,14.646639,9.917699,15.455455,15.598721,10.789121,11.574854,10.94699,9.973915,9.526077,13.591455,14.637434,11.529568,11.9377,14.5861225,11.4864025,13.917537,16.642813,10.095611,16.329124,14.748772,11.033238,13.22056,8.370128,13.907461,12.02387,10.438572,14.254963,14.049473,11.809913,9.469921,14.079157,13.576124,10.530313,10.470198,16.210129,15.634153,13.591605,12.092047,12.21594,11.308332,11.182951,16.984066,16.811316,12.699749,16.426254,16.229248,16.878923,16.618555,15.323238,12.970505,12.896908,12.839535,12.729951,13.175607,9.468802,12.703232,12.835282,13.978351,15.9096775,11.963361,11.308358,15.769998,13.158764,15.628743,15.183649,15.597231,10.511256,10.369027,10.082637,15.570516,10.404729,15.156276,14.817366,9.976712,10.559414,10.944097,14.180424,16.01342,15.059397,12.149716,9.640306,10.311681,10.113905,10.198191,13.722749,15.0049095,14.452743,14.452405,14.755172,10.336465,11.528047,13.742837,13.559984,15.10656,15.22799,14.033468,10.672084,10.638313,10.732076,11.047934,11.128955,11.611808,11.879168,12.53567,11.209245,11.571926,12.050236,12.00255,11.864319,13.228891,13.134864,15.136027,14.640134,14.621454,14.760117,14.251538,13.243798,13.244603,13.415307,13.518254,13.344773,14.852664,13.9953,10.412163,14.5511265,14.874942,14.87266,11.967896,15.436587,14.719256,13.470563,10.857919,12.147936,14.496727,11.661081,11.380242,14.68741,14.578203,11.82453,12.998895,12.974477,11.4368305,11.607971,12.028877,12.781585,13.318571,14.278431,13.431289,12.698919,15.013469,12.96343,12.870303,12.559621,12.21002,12.331438,12.76439,12.491633,12.653089,12.689031,13.145782,13.518324,14.952081,13.311895,13.83441,14.847207,14.175943
4,22.454832,9.188747,12.065923,5.6749544,0.0,5.0542827,4.5938497,4.857114,20.629007,17.506054,14.675515,15.22841,15.248442,17.601658,18.244856,12.058775,12.034058,12.785899,8.952724,9.109192,9.591235,10.843665,10.7410965,5.658848,11.740222,13.504567,10.012638,12.750583,11.815238,12.318446,5.675125,14.121392,13.389434,13.606124,12.574165,14.30954,10.071783,9.609012,13.887895,14.7040825,10.200732,10.2182665,12.806982,12.210596,10.559989,12.047128,11.642123,10.167848,10.362354,11.605543,12.674362,11.619472,7.616431,7.5077,10.595,10.779951,7.8130455,10.4294405,12.024548,7.9226694,12.780753,12.891468,7.907447,8.511214,8.999562,7.5822496,6.8195176,10.921654,11.937772,9.018796,9.278238,11.676703,7.616797,9.02552,11.926391,8.957424,12.830023,11.460963,8.922732,10.028512,7.88346,8.878546,9.777024,9.228896,11.671811,11.472851,8.259354,8.475898,10.833288,10.656567,9.052885,8.213041,12.800629,12.111636,10.17831,8.687557,8.695669,6.4960074,6.5574136,13.62548,13.238567,10.136792,12.959538,12.792739,13.5714,13.191476,10.976319,10.83401,10.57099,10.278526,8.98677,9.358637,7.790072,9.963097,9.984401,10.636493,12.398598,8.957003,8.619882,12.546997,10.702154,12.507538,11.951324,12.562138,8.313183,8.424253,8.085662,12.156046,7.9483356,12.073073,11.654604,7.2344456,7.9084125,8.489525,9.824378,11.799988,10.9451885,7.8158283,5.889873,6.8768945,6.969595,6.9607353,10.774297,11.246509,10.869152,10.4511795,10.959166,7.407139,7.239042,10.003629,9.870252,11.365163,11.56709,9.81805,6.726127,6.557632,7.0381994,7.153883,6.7647343,7.168585,7.583916,8.410271,7.2148075,7.41508,7.9700274,7.5264835,7.5023923,8.385008,8.537788,10.474632,9.895984,10.06066,10.355017,10.856402,9.886042,9.684597,10.181591,10.052757,10.067527,11.041888,9.969293,7.082281,10.729439,10.642102,10.932545,8.319669,11.671062,10.737489,9.599599,7.8893814,7.504724,10.642762,8.29816,7.9226475,10.883028,10.978263,8.778533,8.5523405,8.624446,8.420566,8.520705,8.073264,8.684246,9.122605,10.151482,9.343148,8.953364,10.586117,8.420806,8.274945,8.831536,8.352969,8.349919,8.635119,8.366454,8.643538,8.792674,8.9391985,9.196735,10.276235,8.8458,9.3037195,10.405239,9.8370905
5,18.796062,9.163948,10.853102,9.003369,5.0542827,0.0,2.2569885,2.2930646,15.764909,12.542057,11.6615,10.20802,10.213919,12.97944,13.462793,9.064603,9.909001,9.950268,6.369814,6.9862514,6.2978916,8.163082,7.7378983,4.587324,8.476162,10.600649,6.1954513,8.927534,7.463955,8.680948,4.53546,11.253972,10.60528,9.024219,7.916382,9.574157,7.161265,6.4933777,8.976316,9.777388,6.7077813,7.5795565,9.256438,8.125147,6.24167,7.363933,7.8982553,7.264277,7.5173464,6.667487,7.9460797,6.7925363,5.0053253,5.089035,6.1465535,6.238031,4.577878,6.316732,8.151593,3.7549798,8.579349,8.556235,4.155201,4.73651,4.603349,3.74854,3.054358,6.0930343,7.181356,4.854201,5.172232,7.572947,3.8541439,5.101397,7.6794353,5.6678195,8.044954,6.4598646,4.6616883,5.9346995,5.286548,5.3452353,6.1572876,5.3774996,7.5536723,7.471588,3.228556,5.239979,6.6677537,6.6111135,5.128672,3.954156,7.8509684,7.1525545,5.4147367,3.8549182,3.9357932,3.7213202,3.420819,8.58429,8.233226,6.3197775,7.9313717,7.768987,8.545903,8.179912,6.465518,7.3747845,6.9831977,6.8082776,4.645026,4.8532305,4.0379214,6.483189,6.5821447,5.862166,7.377851,4.1175294,3.9571278,7.496405,5.853527,7.4549603,6.897478,7.53169,4.0772305,4.2972894,3.9214156,7.5843987,3.526923,7.0275493,6.6057,2.6903956,3.2272732,3.8838427,5.493118,7.0634055,6.128216,3.6510155,2.380786,2.9386353,3.8708794,3.5132482,5.7802553,6.2787457,5.8738384,5.6281343,6.038533,3.1855507,2.6362631,5.006913,4.877511,6.408839,6.5943017,5.136789,1.8987199,1.6479819,2.0326378,2.1836672,3.2839088,3.566099,4.1319933,4.8083673,4.605816,4.2939057,4.6821246,4.7639246,4.5441427,4.9080276,4.592626,6.182947,5.7541623,5.6383796,5.784888,5.858036,4.9715686,4.775705,5.6808534,5.6060143,5.7308226,6.359636,5.414026,2.5111797,5.887886,5.9114246,6.7417097,3.4095418,7.0824304,6.3054886,4.8147945,3.2950962,3.281281,6.3286166,3.7740707,3.1826167,6.3181925,6.480109,4.160166,4.2781544,4.0414987,3.9027746,4.224046,3.255339,3.887225,4.5865393,5.3541427,4.4944134,4.7381434,6.013783,3.985923,3.9210377,3.8596983,4.092849,4.239611,4.4700766,3.9627068,3.9535556,3.9506793,4.2131124,4.5289173,6.0314364,4.370093,4.8487773,5.888246,5.1824036
6,19.202227,6.9749165,9.07467,7.9852843,4.5938497,2.2569885,0.0,0.3828299,17.367037,13.8724985,12.508786,11.178349,11.242012,13.807916,14.636424,10.226335,12.11737,10.123379,7.439813,7.2020392,6.459926,7.1781464,6.9327602,5.70995,10.554114,9.432609,7.904629,9.153287,7.6361947,9.246287,6.309202,10.0769005,9.396645,9.684033,8.298945,10.100463,9.099477,8.728274,9.548011,10.373231,7.477659,9.768238,11.29204,10.065167,7.1909018,8.4914875,7.1079173,9.471773,9.707587,7.482564,8.644431,7.6152472,6.715546,6.7635283,6.706251,6.862958,4.4956613,6.453539,7.5177426,4.5286202,8.233821,8.341475,3.3343093,4.011387,5.2202225,3.0725813,2.2800398,7.563972,8.795044,4.4430146,4.6889253,7.1784887,6.1023197,6.5555143,9.243596,4.8117976,9.851803,7.373099,4.557733,5.580448,4.534296,7.0855665,5.2327,5.537897,7.102944,6.916677,4.4576173,4.6001306,6.4188457,6.145731,4.991704,5.295705,9.45267,8.7503,5.904239,4.4794974,4.4875507,5.766252,5.559056,9.839211,9.433631,5.5824385,9.119911,8.872958,9.55945,9.218833,8.298323,6.355758,6.0601306,5.8310237,4.797786,5.251818,3.8708315,5.536929,5.6206355,7.7089677,8.759728,4.696398,4.314209,8.770998,6.9852996,8.592219,8.081919,8.851657,4.0034413,4.2413063,4.0732284,9.544977,3.712588,8.280285,7.8814697,3.1680746,3.9523368,4.3692174,7.50502,8.584615,7.5735483,4.2360296,4.5207095,5.065501,5.900354,5.5803103,7.12332,7.7686505,7.4240103,6.7347045,7.1268005,5.040354,4.633275,6.335467,6.072824,7.554675,7.697603,6.2712593,3.0568051,3.4737372,3.3434377,3.6110084,5.507754,5.775214,6.37195,7.060487,6.782896,6.5276804,6.9334626,6.9423914,6.7535043,6.9217424,6.6598763,7.824256,7.4692254,7.251964,7.4491067,7.4184556,6.6991944,6.555467,7.665563,7.6657724,7.787585,8.286505,7.4259057,4.488158,7.6681485,7.4842696,8.883495,5.274099,9.055752,8.36238,6.7086034,5.050626,4.6758294,8.445419,5.802445,5.151515,8.325577,8.516486,6.0030894,5.1431985,5.2764964,5.7714233,6.217015,4.3095617,5.108967,6.5874286,6.9912505,5.9120817,6.9181952,7.433411,5.54615,5.5919466,5.5768065,6.285487,6.458359,6.6580667,6.0948534,5.9503837,5.8282065,5.9989862,6.1786823,7.2655015,6.1684585,6.472848,7.12348,6.608841
7,19.244356,6.9868073,9.090466,8.340973,4.857114,2.2930646,0.3828299,0.0,17.187616,13.734014,12.189823,10.99829,11.0594225,13.486463,14.354688,10.395975,12.155208,10.270963,7.200241,6.893267,6.0974755,6.814459,6.5604362,6.004752,10.639654,9.116914,7.9986115,9.181236,7.290086,8.894511,6.5048246,9.762401,9.078648,9.356326,7.9857903,9.790801,8.981102,8.781421,9.306632,10.130361,7.1555166,9.85939,11.156677,9.89924,7.214443,8.204643,6.8944893,9.546638,9.791802,7.323553,8.544942,7.505169,6.599215,6.653531,6.668181,6.810096,4.6295366,6.4301333,7.212508,4.5944123,7.935878,8.04909,3.0522132,3.6905134,5.21312,2.932833,2.1274142,7.5010047,8.736757,4.2247887,4.431113,6.8616657,6.1303015,6.3173075,9.000964,4.780279,9.726941,7.1428614,4.4468455,5.2499876,4.6706643,6.909254,4.9882298,5.580817,6.8171554,6.6264796,4.2796116,4.6414676,6.084341,5.831713,4.974943,5.3676763,9.29919,8.588369,5.622639,4.236133,4.2189984,5.755686,5.555164,9.632646,9.200843,5.299957,8.896789,8.642338,9.3259115,8.97873,8.118567,6.0974393,5.7886143,5.5331354,4.459759,4.926798,3.9071336,5.224091,5.295384,7.6270576,8.562796,4.504454,4.164492,8.587888,6.90611,8.401485,7.8895874,8.696534,3.9150763,4.1942897,4.062372,9.467162,3.6265628,8.1140175,7.7130246,3.1091776,3.8915064,4.284798,7.3717685,8.353374,7.340117,3.9132385,4.6267867,5.1439447,6.0378737,5.696819,7.003523,7.5703216,7.2559433,6.465321,6.8696146,5.117547,4.5192766,6.1232243,5.8483434,7.3077574,7.451592,5.994308,2.8562245,3.3550215,3.189769,3.4381864,5.51593,5.753259,6.371864,7.0543714,6.8652315,6.5664124,6.959975,6.9604754,6.7756486,6.8152266,6.5506425,7.601418,7.263488,7.028056,7.2372165,7.2740717,6.6003866,6.4422407,7.6365275,7.6264653,7.7743754,8.165651,7.311909,4.5190706,7.51723,7.264403,8.811383,5.1841173,8.946996,8.260582,6.583416,5.07344,4.447232,8.373747,5.799053,5.123899,8.225694,8.445414,5.9981546,4.8361626,5.014759,5.7886395,6.2501097,4.059422,4.860098,6.462734,6.7914143,5.6855035,6.8952947,7.1806006,5.327209,5.392622,5.44053,6.259352,6.431392,6.601409,6.0178466,5.8424306,5.7035885,5.828012,5.974686,6.9836535,5.988674,6.256256,6.8458014,6.364618
8,16.92188,22.208954,21.530838,24.061817,20.629007,15.764909,17.367037,17.187616,0.0,5.2056136,13.900526,7.7492495,7.4478917,8.547633,6.0444026,14.473589,13.783392,16.418692,14.826243,16.355402,14.751525,17.01015,16.242481,17.268084,12.002747,17.571947,12.575541,14.050312,12.500316,13.060022,16.54516,17.87805,17.83979,10.367071,11.280704,10.045086,12.960701,12.749191,9.815327,9.321615,13.575853,13.349003,10.360959,9.598943,12.588753,10.052258,15.220033,12.897153,12.970221,10.8065,10.9720545,11.094912,14.592404,14.844589,12.8074875,12.463848,15.922861,13.917494,14.637137,14.369802,13.518429,13.013168,15.538873,15.2906,13.643413,15.549422,15.845739,10.555795,9.523001,14.568573,14.582629,13.890066,13.381809,12.806977,10.161289,16.175045,7.853701,10.463906,14.347532,14.18701,17.064037,12.994961,15.548103,14.6576,13.990822,14.354403,12.912089,16.161802,13.73883,14.257422,14.813862,13.64045,7.9599924,8.637707,12.299154,13.167559,13.261215,14.792506,14.509196,7.7715535,8.295617,15.013991,8.546894,8.905335,8.508759,8.751997,10.008741,15.878848,15.543941,15.750742,13.771112,13.158924,15.401249,15.690924,15.806285,10.152566,8.656007,13.0634775,13.684162,8.766205,11.247093,9.118569,9.493395,8.773363,14.610685,14.695838,14.679538,8.781236,14.447254,9.318621,9.64162,14.626631,13.935884,13.772145,11.087306,9.395739,10.20366,14.207239,14.976482,14.086353,14.571405,14.328775,10.536771,9.65771,9.952661,11.154686,10.637565,13.788084,13.457041,11.102792,11.405972,10.142666,10.023792,11.798947,14.434664,14.239302,14.047817,13.850521,14.160428,13.781559,13.552372,12.827578,14.51947,13.935801,13.431289,14.155024,13.996058,13.100393,12.530139,11.051289,11.608981,11.262196,10.748536,9.997672,10.912469,11.019031,10.8326235,10.862211,11.0515585,9.6153755,10.72849,13.792328,9.919305,10.407696,10.19561,12.385683,9.077697,10.088097,11.03261,13.225114,13.780227,10.31047,12.561802,12.850034,9.848988,9.880877,12.267391,13.4118595,12.772274,12.667885,12.61137,13.281088,12.593839,11.587169,10.723997,11.739166,11.947856,10.895271,12.740684,12.820575,11.912129,12.438435,12.505682,12.201832,12.329244,11.991756,11.859984,11.837802,11.762871,11.844511,12.091537,11.875733,11.384962,11.440609
9,12.543725,18.04495,16.878992,20.110897,17.506054,12.542057,13.8724985,13.734014,5.2056136,0.0,14.284652,3.4615035,3.2939441,8.707332,7.194731,10.245652,13.221318,11.408258,13.580815,14.78597,12.748434,14.300019,13.550323,13.7652235,9.653251,14.432033,8.926567,8.96181,9.904027,12.008961,13.833592,14.791664,14.746367,8.644964,8.480957,7.734888,12.2123,10.734083,6.19387,5.80684,12.1368265,11.439771,10.502365,9.093373,8.069372,8.273828,11.083457,10.936138,10.9839945,6.65684,6.199036,6.6479416,13.0164795,13.2852,8.223644,7.899555,11.547566,9.246256,11.150473,10.257031,10.050669,9.528751,11.8877325,11.788326,9.363114,11.616374,12.066424,6.657547,5.772559,10.660272,10.797058,10.528779,10.777772,11.084355,9.349674,11.751098,5.535321,7.0997233,10.169966,10.864698,12.597025,11.523356,11.6502285,10.122955,10.333469,10.715836,9.6098385,11.707449,10.548138,10.796808,10.381027,9.719875,5.152342,5.872738,9.029243,9.763316,9.958851,12.644018,12.217274,4.806061,5.7027082,11.29764,5.667634,5.9339213,5.4415154,5.846625,8.423592,12.036832,11.767549,12.141568,10.734771,10.221278,11.1636,12.169836,12.381691,7.1413946,5.795706,9.356778,9.786712,5.3836184,7.0721784,5.5563345,6.071626,5.101075,10.507272,10.479068,10.505888,6.437101,10.468706,5.692765,6.1182513,10.8144865,10.051361,9.7500925,9.243252,7.6886797,8.013351,11.515255,11.973431,10.988922,11.536183,11.252758,6.7903795,7.017165,7.0166025,8.607337,7.9086,10.334572,10.772742,8.1683445,8.378814,7.4165764,7.20954,9.391182,11.302047,11.228584,10.777814,10.734953,11.715636,11.464803,11.308438,10.674551,12.192956,11.642405,11.210332,12.174212,11.894664,11.424168,10.609274,9.601524,10.100634,9.506006,8.898886,6.824872,7.702378,8.006868,7.8684254,8.165382,8.237039,7.357411,8.504226,10.478024,7.426622,8.356301,8.450533,9.303133,7.0560026,8.146074,8.408824,9.699615,11.360943,8.2869835,9.427279,9.655194,7.6482387,7.523845,8.861985,10.971759,10.272093,9.258928,9.381797,10.292992,9.837767,9.291428,8.408314,9.119098,9.401856,9.047095,10.459588,10.590842,8.905779,9.824718,10.046131,9.907382,9.862257,9.360731,9.076911,9.374269,9.447927,10.180622,9.9143715,9.841636,9.44643,9.249323
